"","code","Country.Name","IMF.Share","AIIB.Share","Subscription.Difference","absidealdiff","membership","polity.diff","Import.from.china","GDP","Import.Dependence","Opinion.Change"
"1",2,"United States",82994.2,0,82994.2,3.184,0,17,144867.0844,1.8e+13,0.008031819,-1
"2",20,"Canada",11023.9,955,10068.9,2.698,1,17,18549.1535,1.55281e+12,0.011945558,-15.10462369
"3",41,"Haiti",163.8,0,163.8,0.252,0,7,10.718399,8724656126,0.001228518,0
"4",42,"Dominican Republic",477.4,0,477.4,0.087,0,15,211.834904,68102618092,0.003110525,0
"5",51,"Jamaica",382.9,0,382.9,0.075,0,16,31.174346,14261995114,0.002185833,0
"6",52,"Trinidad and Tobago",469.8,0,469.8,0.012,0,17,39.251629,23559287484,0.001666079,0
"7",70,"Mexico",8912.7,0,8912.7,0.469,0,15,10086.10601,1.15104e+12,0.008762624,9
"8",90,"Guatemala",428.6,0,428.6,0.461,0,15,203.496297,63767597194,0.003191218,0
"9",91,"Honduras",249.8,0,249.8,0.715,0,14,35.876053,20844308601,0.001721144,0
"10",92,"El Salvador",287.2,0,287.2,0.29,0,15,53.907636,26052340000,0.002069205,-11.66555309
"11",93,"Nicaragua",260,0,260,0.472,0,16,34.82968,12747741540,0.002732224,0
"12",94,"Costa Rica",369.4,0,369.4,0.435,0,17,826.034107,54840103850,0.015062592,0
"13",95,"Panama",376.8,0,376.8,0.795,0,16,315.389916,52132289700,0.0060498,0
"14",100,"Colombia",2044.5,62.3,1982.2,0.501,0,14,3538.980159,2.9152e+11,0.012139768,0
"15",110,"Guyana",181.8,0,181.8,0.193,0,14,49.407039,3179104116,0.015541183,0
"16",115,"Suriname",128.9,0,128.9,0.084,0,12,50.796258,4878731707,0.010411775,0
"17",130,"Ecuador",697.7,0,697.7,0.458,0,12,1237.36021,1.00177e+11,0.012351763,0
"18",135,"Peru",1334.5,0,1334.5,0.54,0,16,8205.752048,1.89212e+11,0.04336801,1.184328048
"19",140,"Brazil",11042,5,11037,0.023,1,15,44380.36952,1.80365e+12,0.024605829,-20.74496682
"20",145,"Bolivia",240.1,0,240.1,0.635,0,14,447.628976,33000198263,0.013564433,0
"21",150,"Paraguay",201.4,0,201.4,0.81,0,16,41.922438,27282581336,0.001536601,0
"22",155,"Chile",1744.3,0,1744.3,0.366,0,17,18708.6776,2.42518e+11,0.07714349,9.098261671
"23",160,"Argentina",3187.3,0,3187.3,0.526,0,16,5714.096881,5.84711e+11,0.009772507,19
"24",165,"Uruguay",429.1,0,429.1,0.231,0,17,2410.598157,53274304215,0.045248797,0
"25",200,"United Kingdom",20155.1,3054.7,17100.4,2.32,1,17,18880.71876,2.86109e+12,0.006599133,-2
"26",205,"Ireland",3449.9,0,3449.9,1.503,0,17,4285.743226,2.83716e+11,0.015105751,0
"27",210,"Netherlands",8736.5,1031.3,7705.2,1.745,1,17,8805.341917,7.50318e+11,0.011735479,0
"28",211,"Belgium",6410.7,0,6410.7,1.738,0,15,7031.733109,4.54991e+11,0.015454653,0
"29",212,"Luxembourg",1321.8,69.7,1252.1,1.603,1,17,309.53087,58048242436,0.005332304,0
"30",220,"France",20155.1,3375.6,16779.5,2.076,1,16,24974.48309,2.43356e+12,0.010262522,22
"31",225,"Switzerland",5771.1,706.4,5064.7,1.468,1,17,9146.991483,6.7079e+11,0.013636149,0
"32",230,"Spain",9535.5,1761.5,7774,1.63,1,17,5621.095178,1.19296e+12,0.004711907,10
"33",235,"Portugal",2060.1,65,1995.1,1.628,1,17,1471.842857,1.99082e+11,0.007393138,0
"34",255,"Germany",26634.4,4484.2,22150.2,1.854,1,17,87470.1093,3.3636e+12,0.026004909,8
"35",290,"Poland",4095.4,831.8,3263.6,1.715,1,17,2747.952173,4.77337e+11,0.005756841,7
"36",305,"Austria",3932,500.8,3431.2,1.442,1,17,4966.001818,3.76967e+11,0.013173558,0
"37",310,"Hungary",1940,100,1840,1.766,1,17,2873.266599,1.21715e+11,0.023606473,0
"38",316,"Czech Republic",2180.2,0,2180.2,1.826,0,16,2784.094306,1.85156e+11,0.01503645,2.710363487
"39",317,"Slovak Republic",1001,0,1001,1.696,0,17,2237.316172,87267593788,0.025637422,0
"40",325,"Italy",15070,2571.8,12498.2,1.631,1,17,16784.7289,1.8249e+12,0.009197605,-22.23449778
"41",339,"Albania",139.3,0,139.3,1.627,0,16,128.74556,11390365294,0.011303023,0
"42",341,"Montenegro",60.5,0,60.5,1.478,0,15,24.413208,4019889098,0.006073105,0
"43",343,"Macedonia, former Yugoslav Republic of",140.3,0,140.3,1.61,0,16,136.537633,10051659161,0.013583592,0
"44",344,"Croatia",717.4,0,717.4,1.658,0,16,112.096163,48676334689,0.002302888,0
"45",349,"Slovenia",586.5,0,586.5,1.586,0,17,289.609769,42776716631,0.006770266,0
"46",350,"Greece",2428.9,0,2428.9,1.546,0,17,286.116923,1.9486e+11,0.001468319,8.75965155
"47",352,"Cyprus",303.8,0,303.8,1.397,0,17,49.879146,19559942331,0.002550066,0
"48",355,"Bulgaria",896.3,0,896.3,1.672,0,16,755.70133,50199117547,0.015054076,0
"49",359,"Moldova",172.5,0,172.5,1.612,0,16,21.515151,6512899540,0.003303467,0
"50",365,"Russian Federation",12903.7,6536.2,6367.5,0.813,1,11,33144.76299,1.36587e+12,0.024266496,19
"51",366,"Estonia",243.6,45.8,197.8,1.71,0,16,235.215859,22460470490,0.010472437,0
"52",367,"Latvia",332.3,0,332.3,1.716,0,15,144.399549,27026037600,0.005342979,0
"53",368,"Lithuania",441.6,0,441.6,1.724,0,17,139.705619,41402022148,0.003374367,0
"54",369,"Ukraine",2011.8,0,2011.8,1.708,0,11,3555.186916,91030959455,0.039054701,3.070030399
"55",370,"Belarus",681.5,0,681.5,0.532,0,0,1010.510156,56454775871,0.017899463,0
"56",371,"Armenia",128.8,0,128.8,0.82,0,12,219.232589,10529182498,0.020821426,0
"57",372,"Georgia",210.4,53.9,156.5,1.55,1,14,44.070396,13993546732,0.003149337,0
"58",373,"Azerbaijan",391.7,254.1,137.6,0.106,1,0,226.37143,53074370486,0.004265174,0
"59",375,"Finland",2410.6,310.3,2100.3,1.645,1,17,3485.346835,2.32362e+11,0.014999662,0
"60",380,"Sweden",4430,630,3800,1.497,1,17,6432.399468,4.95694e+11,0.012976544,0
"61",385,"Norway",3754.7,550.6,3204.1,1.604,1,17,4147.256666,3.86578e+11,0.010728112,0
"62",390,"Denmark",3439.4,469.5,2969.9,1.745,1,17,4095.916558,3.01308e+11,0.013593794,0
"63",402,"Cabo Verde",23.7,0,23.7,0.4,0,17,0.022606,1574288668,1.44e-05,0
"64",404,"Guinea-Bissau",28.4,0,28.4,0.147,0,13,17.812428,1056776897,0.016855429,0
"65",411,"Equatorial Guinea",157.5,0,157.5,0.243,0,1,1165.360025,12162117377,0.095818844,0
"66",420,"Gambia, The",62.2,0,62.2,0.068,0,2,55.781038,938794719.4,0.059417716,0
"67",432,"Mali",186.6,0,186.6,0.042,0,12,92.978369,12746688962,0.007294315,0
"68",433,"Senegal",323.6,0,323.6,0.015,0,14,111.779423,13609978076,0.008213049,11.93513562
"69",434,"Benin",123.8,0,123.8,0.151,0,14,78.118465,8290986804,0.009422095,0
"70",435,"Mauritania",128.8,0,128.8,0.058,0,5,746.743342,4844223518,0.154151298,0
"71",436,"Niger",131.6,0,131.6,0.079,0,13,141.037112,7142951342,0.019744935,0
"72",437,"Côte d'Ivoire",650.4,0,650.4,0.596,0,11,144.134004,32828516580,0.004390512,0
