"","code","Country.Name","IMF.Share","AIIB.Share","Subscription.Difference","absidealdiff","membership","polity.diff","Import.from.china","GDP","Import.Dependence","Opinion.Change","Relevant.Subscription","s2un","s3un"
"1",2,"United States",82994.2,0,82994.2,3.184,0,17,144867084400,1.8e+07,0.00804817135555556,-1,0,-0.60714,-0.45946
"2",20,"Canada",11023.9,955,10068.9,2.698,1,17,18549153500,1552810,0.0119455396989973,-15.10462369,615.014071264353,-0.22034,-0.17333
"3",41,"Haiti",163.8,0,163.8,0.252,0,7,10718399,8724.656126,0.00122851821839242,0,0,0.83333,0.71429
"4",42,"Dominican Republic",477.4,0,477.4,0.087,0,15,211834904,68102.618092,0.00311052511540499,0,0,0.93846,0.82667
"5",51,"Jamaica",382.9,0,382.9,0.075,0,16,31174346,14261.995114,0.00218583345112763,0,0,0.9375,0.83562
"6",52,"Trinidad and Tobago",469.8,0,469.8,0.012,0,17,39251629,23559.287484,0.00166607878216424,0,0,0.93846,0.82432
"7",70,"Mexico",8912.7,0,8912.7,0.469,0,15,10086106010,1151040,0.00876260252467334,9,0,0.875,0.74667
"8",90,"Guatemala",428.6,0,428.6,0.461,0,15,203496297,63767.597194,0.00319121789050486,0,0,0.87302,0.74324
"9",91,"Honduras",249.8,0,249.8,0.715,0,14,35876053,20844.308601,0.00172114382332062,0,0,0.85455,0.65753
"10",92,"El Salvador",287.2,0,287.2,0.29,0,15,53907636,26052.34,0.00206920514625558,-11.66555309,0,0.93548,0.7973
"11",93,"Nicaragua",260,0,260,0.472,0,16,34829680,12747.74154,0.00273222357785582,0,0,0.96875,0.82667
"12",94,"Costa Rica",369.4,0,369.4,0.435,0,17,826034107,54840.10385,0.0150625919538626,0,0,0.875,0.74667
"13",95,"Panama",376.8,0,376.8,0.795,0,16,315389916,52132.2897,0.00604979980382485,0,0,0.83051,0.65333
"14",100,"Colombia",2044.5,62.3,1982.2,0.501,0,14,3538980159,291520,0.0121397508198408,0,213.707464324918,0.86885,0.73973
"15",110,"Guyana",181.8,0,181.8,0.193,0,14,49407039,3179.104116,0.015541183049445,0,0,1,0.85333
"16",115,"Suriname",128.9,0,128.9,0.084,0,12,50796258,4878.731707,0.0104117752421429,0,0,0.96825,0.85135
"17",130,"Ecuador",697.7,0,697.7,0.458,0,12,1237360210,100177,0.0123517395210477,0,0,0.96923,0.86667
"18",135,"Peru",1334.5,0,1334.5,0.54,0,16,8205752048,189212,0.0433680318795848,1.184328048,0,0.87302,0.74667
"19",140,"Brazil",11042,5,11037,0.023,1,15,44380369520,1803650,0.0246058656169434,-20.74496682,2.77215646051063,0.90909,0.84
"20",145,"Bolivia",240.1,0,240.1,0.635,0,14,447628976,33000.198263,0.0135644329295404,0,0,0.96875,0.86301
"21",150,"Paraguay",201.4,0,201.4,0.81,0,16,41922438,27282.581336,0.00153660086205561,0,0,0.84314,0.58667
"22",155,"Chile",1744.3,0,1744.3,0.366,0,17,18708677600,242518,0.0771434598668965,9.098261671,0,0.87879,0.78667
"23",160,"Argentina",3187.3,0,3187.3,0.526,0,16,5714096881,584711,0.00977251476541403,19,0,0.875,0.77333
