"","Country.Name","Time","Pub.Opinion","Region","Polity","Polity.Sim","Share","Member","GDP","GDP.Growth","Capital","Air","Port","Debt"
"1","Argentina",2008,34,5,8,15,0,0,361558037105.274,4.05723310237892,11.021843220262,131.685,3.33221705362263,129752181000
"2","Argentina",2009,42,5,8,15,0,0,332976484584.295,-5.91852508035115,13.738186363854,111.663,3.6402897114,133695117000
"3","Argentina",2010,45,5,8,15,0,0,423627422103.855,10.1253981606364,15.0863203525885,193.301253837474,3.7615393942,126641210000
"4","Argentina",2011,NA,5,8,15,0,0,530163281582.146,6.00395168927028,8.22006946047762,192.20126,3.7,139509123000
"5","Argentina",2012,NA,5,8,15,0,0,545982375704.347,-1.02642046307619,6.27396625317979,180.120460072137,3.6,136543043000
"6","Argentina",2013,54,5,8,15,0,0,552025140256.732,2.40532378717022,9.61999483851449,268.710767897573,3.7,146568611000
"7","Argentina",2014,40,5,8,15,0,0,526319673732.799,-2.51261532628018,11.426903268399,261.60894,3.7,144971849000
"8","Argentina",2015,53,5,9,16,0,0,584711485365.112,2.64727141904568,9.60039804330982,243.7725665,3.82892558097839,159693583000
"9","Australia",2008,52,6,10,17,0,1,1054557743957.03,3.70669950604605,64.8491335746018,2212.439,4.77188910148113,NA
"10","Australia",2009,NA,6,10,17,0,1,926563834486.821,1.81967826084417,136.19238017194,2769.286,4.6486865,NA
"11","Australia",2010,NA,6,10,17,0,1,1142250506474.06,2.01818214420197,127.335515436957,2938.314378037,4.8610048366,NA
"12","Australia",2011,NA,6,10,17,0,1,1389919156068.22,2.37956133560841,86.2055469031313,2846.59879756427,5.1,NA
"13","Australia",2012,NA,6,10,17,0,1,1537477830480.51,3.63272030319823,90.204485066725,2731.69798,5.1,NA
"14","Australia",2013,58,6,10,17,0,1,1563950959269.52,2.44004906206246,87.3402149795032,1984.693734,5,NA
"15","Australia",2014,NA,6,10,17,0,1,1454675479665.84,2.4998512224341,88.5907790441367,1907.43643,5,NA
"16","Australia",2015,57,6,10,17,3691.2,1,1339140527498.13,2.24002857543144,88.6451739473369,1887.29582,4.98650344390443,NA
"17","Brazil",2008,NA,5,8,15,0,1,1695824517395.57,5.09434227022558,34.9072409278015,1807.062,2.51819277818452,262957242000
"18","Brazil",2009,NA,5,8,15,0,1,1667019605881.76,-0.125873061539252,80.2178735799971,1782.3,2.6486275202,281651132000
"19","Brazil",2010,52,5,8,15,0,1,2208871646202.82,7.52822356216525,69.9708225535385,1302.474647875,2.9384436332,352364412000
"20","Brazil",2011,49,5,8,15,0,1,2616201578192.25,3.97442540629392,46.9740650049287,1294.49545,2.7,404046105000
"21","Brazil",2012,50,5,8,15,0,1,2465188674415.03,1.9211503175375,49.7911998679477,1363.447091,2.6,440514543000
"22","Brazil",2013,65,5,8,15,0,1,2472806919901.67,3.00486535886174,41.2670848575827,1637.382,2.7,483766051000
"23","Brazil",2014,44,5,8,15,0,1,2455993200170,0.503961790897151,34.360608162172,1596.774,2.7,556921499000
"24","Brazil",2015,55,5,8,15,5,1,1803652649613.75,-3.76925266939523,27.1967060900028,1493.939,2.70545754923315,543399361000
"25","Canada",2008,NA,4,10,17,0,1,1549131208997.19,1.00036097295921,66.7246133830795,1388.665,5.77829531692084,NA
"26","Canada",2009,53,4,10,17,0,1,1371153004986.44,-2.94958764276713,122.337311292009,1346.938,5.6129212045,NA
"27","Canada",2010,NA,4,10,17,0,1,1613406134731.12,3.08351421988722,134.572120017496,1957.32853635002,5.6848688947,NA
"28","Canada",2011,NA,4,10,17,0,1,1788703385548.26,3.1412190013904,106.9418208438,1980,5.8,NA
